benchmark,cohort,arm,training_seed,case_id,task_id,status,success,steps,invalid_actions,environment_protocol,source,sha256
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:003-RecordAndNameAudio:attempt101,003-RecordAndNameAudio,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/003-RecordAndNameAudio/sigma_history/attempt_1/final_decision.json,ece819561ebe5a9f7c9945987befefe4d93db8adbcf6cdb2a911fcfd5ac72fe0
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:004-ConfigureRecordAndNameAudio:attempt101,004-ConfigureRecordAndNameAudio,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/004-ConfigureRecordAndNameAudio/sigma_history/attempt_1/final_decision.json,ed4793f83cb344944189ff6b9b13206e0e7817b4a68eedd0025c644f8eb9f927
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:005-SearchSportsScores:attempt101,005-SearchSportsScores,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/005-SearchSportsScores/sigma_history/attempt_1/final_decision.json,c55da125d5b2cd3a39977c0c9808ef97199583d9a907c4c7cfe5b85971d70710
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:006-SearchSportsScores:attempt101,006-SearchSportsScores,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/006-SearchSportsScores/sigma_history/attempt_1/final_decision.json,45d2c3e7ff5906d367899a506db4eb7c734234b2834e7c35705c6c342298706f
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:007-AddDetailedTransaction:attempt101,007-AddDetailedTransaction,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/007-AddDetailedTransaction/sigma_history/attempt_1/final_decision.json,fce8e107d855adeca78c0dcf5b1a1b7ccb6c560b53856921e2a5d40a483983df
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:008-AddDetailedTransaction:attempt101,008-AddDetailedTransaction,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/008-AddDetailedTransaction/sigma_history/attempt_1/final_decision.json,3cec46cc3fad84a5fdf392f1bd4261989674eb7911b1b34e634b0564d293b37e
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:009-MultiClockFunctions:attempt101,009-MultiClockFunctions,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/009-MultiClockFunctions/sigma_history/attempt_1/final_decision.json,8fd5dd9afebd318e8c60ee3a1d7a1c83ff894cc54e1f55debfbb33bd4c809aa6
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:010-SetTimersAndManageWorldClock:attempt101,010-SetTimersAndManageWorldClock,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/010-SetTimersAndManageWorldClock/sigma_history/attempt_1/final_decision.json,0b951f6adf7748837b5056c597ddadfd9bd51b49b6a534a18c6194fd5d744199
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:011-SetMeetingAlarmByWorldClock:attempt101,011-SetMeetingAlarmByWorldClock,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/011-SetMeetingAlarmByWorldClock/sigma_history/attempt_1/final_decision.json,90ff30929812bb282515557bf9e04676f3b670d02c8741aeb6e70ead6522c01e
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:012-SetMeetingAlarmByWorldClock:attempt101,012-SetMeetingAlarmByWorldClock,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/012-SetMeetingAlarmByWorldClock/sigma_history/attempt_1/final_decision.json,42226fad9ec9f7f11f0778a455a63984b6b26040077b96e6fc90a721b0d442d9
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:013-CompareCourseInfo:attempt101,013-CompareCourseInfo,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/013-CompareCourseInfo/sigma_history/attempt_1/final_decision.json,9ed38c30130fc820494c942d63fb29d5b5f55336b0354484b728e3f5254f8c47
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:014-CompareCourseInfo:attempt101,014-CompareCourseInfo,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/014-CompareCourseInfo/sigma_history/attempt_1/final_decision.json,dd6bd4333ff4924a7773e48b97a73331c86851fb9cc184e2531475e4286fea5f
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:015-CreateSimpleNote:attempt101,015-CreateSimpleNote,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/015-CreateSimpleNote/sigma_history/attempt_1/final_decision.json,091df71f45ce5e0185fa64f14f9272deb428291371a215953bf1db7fd492e429
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:016-CreateSimpleNote:attempt101,016-CreateSimpleNote,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/016-CreateSimpleNote/sigma_history/attempt_1/final_decision.json,3895d856439a9e6bb0f3bb7383e42dde7518f9938fc804f632b70207861ad3b7
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:017-SearchAndCompareRatings:attempt101,017-SearchAndCompareRatings,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/017-SearchAndCompareRatings/sigma_history/attempt_1/final_decision.json,0bd7dc46ef27ab36b2ca441982dc283d536e794c65a77f5bf86aaa0148691a6f
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:018-SearchAndCompareRatings:attempt101,018-SearchAndCompareRatings,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/018-SearchAndCompareRatings/sigma_history/attempt_1/final_decision.json,94d66cb2b4540fc293b12f038d8e8b2a5abd6f0b3004ecaf6c7b987f00901efe
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:019-NavigateAndCompareItems:attempt101,019-NavigateAndCompareItems,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/019-NavigateAndCompareItems/sigma_history/attempt_1/final_decision.json,5cd348c3c59cc3c8ffbcf47e4b41560041733d41df3ecb634ceb08de3d9ec85c
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:020-NavigateAndCompareItems:attempt101,020-NavigateAndCompareItems,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/020-NavigateAndCompareItems/sigma_history/attempt_1/final_decision.json,d49768746e086352b651b48c98520f2df9f28ba2c143f72aa9b96527a8d8fe16
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:021-NavigateAndComparePrices:attempt101,021-NavigateAndComparePrices,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/021-NavigateAndComparePrices/sigma_history/attempt_1/final_decision.json,c92350630f4cf861075789a65a15bbec632ef553a6f042b9f357f96dae0c8916
MemGUI,memgui_ce_seed11,CE,11,memgui:001-FindProductAndFilter:attempt101,001-FindProductAndFilter,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/001-FindProductAndFilter/sigma_history/attempt_1/final_decision.json,19e81b8e2bb0a37137db5eeaab64854fed33b8ef79f12b26d7c5e56a97493597
MemGUI,memgui_ce_seed11,CE,11,memgui:002-FindProductAndFilter:attempt101,002-FindProductAndFilter,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/002-FindProductAndFilter/sigma_history/attempt_1/final_decision.json,442491f7dc03824a092ffe81af6abba953acb0ad507f33216bac5a76545b6354
MemGUI,memgui_ce_seed11,CE,11,memgui:003-RecordAndNameAudio:attempt101,003-RecordAndNameAudio,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/003-RecordAndNameAudio/sigma_history/attempt_1/final_decision.json,264acaf10894d12925e0d191984e3ff220666a79fbdce7a04150e50a60be3e08
MemGUI,memgui_ce_seed11,CE,11,memgui:004-ConfigureRecordAndNameAudio:attempt101,004-ConfigureRecordAndNameAudio,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/004-ConfigureRecordAndNameAudio/sigma_history/attempt_1/final_decision.json,27539a1d7c767177eb21739d02017e2379c9c8fb35329ea0c1cfcb93372f8ae7
MemGUI,memgui_ce_seed11,CE,11,memgui:005-SearchSportsScores:attempt101,005-SearchSportsScores,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/005-SearchSportsScores/sigma_history/attempt_1/final_decision.json,38fda53e3bf2b48a2cb3c50e151c894ec9f3a27ad6740f0c690bd35afd81a3ee
MemGUI,memgui_ce_seed11,CE,11,memgui:006-SearchSportsScores:attempt101,006-SearchSportsScores,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/006-SearchSportsScores/sigma_history/attempt_1/final_decision.json,c40eef82800ce7ac3f6e48b14f0cdc5bb55dcffad41d2e7d4e47976a99124925
MemGUI,memgui_ce_seed11,CE,11,memgui:007-AddDetailedTransaction:attempt101,007-AddDetailedTransaction,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/007-AddDetailedTransaction/sigma_history/attempt_1/final_decision.json,eaa68a0480864dcbedd11887151d18ca8f762b3fd9044f79fabd7aab1d1ea511
MemGUI,memgui_ce_seed11,CE,11,memgui:008-AddDetailedTransaction:attempt101,008-AddDetailedTransaction,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/008-AddDetailedTransaction/sigma_history/attempt_1/final_decision.json,bb12e4a6497cb43a9623f747d6c6cf98e5c03574862c2e45129e258eee2d0984
MemGUI,memgui_ce_seed11,CE,11,memgui:009-MultiClockFunctions:attempt101,009-MultiClockFunctions,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/009-MultiClockFunctions/sigma_history/attempt_1/final_decision.json,769ca50c00e0bd748178a0b6e4305aa16ceee8df560beac3b6b304ddb8fd6a28
MemGUI,memgui_ce_seed11,CE,11,memgui:010-SetTimersAndManageWorldClock:attempt101,010-SetTimersAndManageWorldClock,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/010-SetTimersAndManageWorldClock/sigma_history/attempt_1/final_decision.json,515e260b3531b2d7b5f54dca10503332e32f5db4bb704609ff08aba3b5a08d6d
MemGUI,memgui_ce_seed11,CE,11,memgui:011-SetMeetingAlarmByWorldClock:attempt101,011-SetMeetingAlarmByWorldClock,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/011-SetMeetingAlarmByWorldClock/sigma_history/attempt_1/final_decision.json,9ba603b4c1bf3ba57f78a6784281d55f337a112f3d2cd30b4ab4b5b6139144ee
MemGUI,memgui_ce_seed11,CE,11,memgui:012-SetMeetingAlarmByWorldClock:attempt101,012-SetMeetingAlarmByWorldClock,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/012-SetMeetingAlarmByWorldClock/sigma_history/attempt_1/final_decision.json,3520557698f4655c599f2280782a28fe158efaa2386552e1d58a37c010ab82aa
MemGUI,memgui_ce_seed11,CE,11,memgui:013-CompareCourseInfo:attempt101,013-CompareCourseInfo,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/013-CompareCourseInfo/sigma_history/attempt_1/final_decision.json,3056f0bdb3fc87de973aaf14cd7389b15f38bc60c89f6d681ea8d62612266d1f
MemGUI,memgui_ce_seed11,CE,11,memgui:014-CompareCourseInfo:attempt101,014-CompareCourseInfo,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/014-CompareCourseInfo/sigma_history/attempt_1/final_decision.json,25fcd30ceb3d695f7d31594127cfe032fe8d87e24683d831dadcd0ef15aeb399
MemGUI,memgui_ce_seed11,CE,11,memgui:015-CreateSimpleNote:attempt101,015-CreateSimpleNote,raw_terminal_judgment,1,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/015-CreateSimpleNote/sigma_history/attempt_1/final_decision.json,42e6cb3fff82f0d63af0135fd8e72bf118c0f636ad8716fb0e11358db761bb4c
MemGUI,memgui_ce_seed11,CE,11,memgui:016-CreateSimpleNote:attempt101,016-CreateSimpleNote,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/016-CreateSimpleNote/sigma_history/attempt_1/final_decision.json,9c84f69ebafe49888151099755947ebebfb36a624284fba20956ed110d41b38e
MemGUI,memgui_ce_seed11,CE,11,memgui:017-SearchAndCompareRatings:attempt101,017-SearchAndCompareRatings,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/017-SearchAndCompareRatings/sigma_history/attempt_1/final_decision.json,142aeef596f569dc30eaf882b29ac1c27b0954ae372750774e2d71a31594450b
MemGUI,memgui_ce_seed11,CE,11,memgui:018-SearchAndCompareRatings:attempt101,018-SearchAndCompareRatings,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/018-SearchAndCompareRatings/sigma_history/attempt_1/final_decision.json,1f2799c0b2aeeec47db5a425c5ad1c861427b6fe90a259ee8ebc8ee12c0cb42b
MemGUI,memgui_ce_seed11,CE,11,memgui:019-NavigateAndCompareItems:attempt101,019-NavigateAndCompareItems,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/019-NavigateAndCompareItems/sigma_history/attempt_1/final_decision.json,42d84d5691ea1fa02149d862b36f123a187015ced7a14977f92389c8cd899797
MemGUI,memgui_ce_seed11,CE,11,memgui:020-NavigateAndCompareItems:attempt101,020-NavigateAndCompareItems,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/020-NavigateAndCompareItems/sigma_history/attempt_1/final_decision.json,596983e75e1872a4032241a9e15907bcb079a920a8d6f8e79f14ac07b1e2f4d1
MemGUI,memgui_ce_seed11,CE,11,memgui:021-NavigateAndComparePrices:attempt101,021-NavigateAndComparePrices,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/ce_s11_qwen7b_gpu2_parallel_v1/attempt_101/official_logs/_memgui_eval/021-NavigateAndComparePrices/sigma_history/attempt_1/final_decision.json,66fabe8bd7bf39b0ea4a14a8946ec9035dbac1fa39d1f165650a6eaecd9c9b7a
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:CameraTakeVideo:suite42:0:attempt101,CameraTakeVideo,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/5c4cab428f6d292f684e/episode.json,650c4815cbd54648e890e16970417635b0eb757c1a60856adbbdc67a603aff94
